"","OB39_et_16h","OB39_4OH_16h","OB39_et_96h","OB39_4OH_96h","OB41_et_16h","OB41_4OH_16h","OB41_et_96h","OB41_4OH_96h","adj.pval","pval","mean_diff_16h","mean_diff_96h","Name_long","X.x","Probe_Type","CHR","MAPINFO","Species","Genome_Build","N_Shelf","N_Shore","CpG_Island","S_Shore","S_Shelf","name","X.y","NCBI_Gene","NCBI_Transcript","NCBI_Feature"
"1",0.844006557195688,0.793737578025185,0.841416334052695,0.78591106033428,0.839279878532218,0.766101068595484,0.841692508350003,0.757259541283997,0.01172968315952,4.52740181082438e-08,0.0617238945536183,0.0699691203922106,"cg28136190_76603171",717,"cg","10",6526913,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28136190",NA,NA,NA,NA
"2",0.64069862553014,0.545275921198767,0.602106143305697,0.545773142167524,0.639201715247996,0.555922275913942,0.609686045017004,0.561271166064891,0.0118754360380665,2.24811573215171e-07,0.0893510718327133,0.052373940045143,"cg28405397_96767897",4099,"cg","10",42914374,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28405397",3042,"Scml4","XM_017313949.1;XM_006512753.3;XM_006512752.3;XM_006512751.3;XM_006512750.3;XM_011243174.2;NM_172938.3","tss_body"
"3",0.12031977663284,0.169480152554464,0.128057196630069,0.16208481108455,0.11109875403935,0.165640808927174,0.121292196592232,0.172523529081231,0.0118754360380665,3.9474393172839e-07,-0.0518512154047239,-0.0426294734717405,"cg28422811_96725352",4347,"cg","10",44528380,"Mus musculus","mm10",NA,"chr10:44529428-44529809",NA,NA,NA,"cg28422811",3235,"Prdm1","XM_006512503.2","tss_body"
"4",0.25876963588924,0.172907584425252,0.254564381618372,0.148576382878707,0.21643548884408,0.130753251432045,0.222664984938811,0.138844052535223,0.0118754360380665,4.4341475395651e-07,0.0857721444380112,0.0949044655716269,"cg28472609_74697549",4843,"cg","10",53630442,"Mus musculus","mm10",NA,NA,NA,"chr10:53629430-53630281",NA,"cg28472609",3569,"Mcm9","XM_017314097.1;XR_380074.3;XM_006512857.3;XM_006512856.3;NM_027830.2","tss_body;tss_200"
"5",0.192946123283853,0.223836517483454,0.221328470365368,0.255890729209182,0.210048489655819,0.238181559828677,0.222135773946781,0.271625339918016,0.0118754360380665,4.51155815566967e-07,-0.0295117321862294,-0.0420259124075243,"cg28494478_60671567",4990,"cg","10",57637851,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28494478",3664,"Pkib","NM_001039051.2;NM_008863.4","tss_body"
"6",0.162445295480449,0.222146421514134,0.162103104256991,0.217423166504884,0.141111217788948,0.200397271295127,0.139627400579225,0.210815208037091,0.0118754360380665,4.83720270969282e-07,-0.0594935897699327,-0.0632539348528791,"cg28528920_13799408",5506,"cg","10",61175512,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28528920",4085,"Tbata","NM_001017441.2;NM_001017419.2;NM_001017433.2;NM_001017407.1;NM_001017409.1;NM_023064.3","tss_body"
"7",0.860283394618383,0.90985902545416,0.852712857740756,0.902121259923156,0.859528795266055,0.907097203864496,0.862513534732115,0.904733540159031,0.0118754360380665,5.15673542510827e-07,-0.0485720197171092,-0.0458142038046575,"cg28548102_66790255",5814,"cg","10",62598286,"Mus musculus","mm10","chr10:62601951-62602436",NA,NA,NA,NA,"cg28548102",4345,"Ddx21","NM_019553.2;XR_001779560.1","tss_body"
"8",0.935402164767095,0.87411211418369,0.929077647465102,0.876409672778072,0.915404057428906,0.844456513444074,0.923869403725661,0.846447305310688,0.0118754360380665,5.19183074352567e-07,0.0661187972841182,0.0650450365510018,"cg28611898_93769461",6586,"cg","10",69823009,"Mus musculus","mm10",NA,NA,NA,"chr10:69822209-69822424",NA,"cg28611898",4935,"Ank3","XM_017313769.1;XM_011243299.1;NM_170730.2;NM_170728.2;NM_170729.2;NM_170690.2;NM_170689.2;NM_170688.2;NM_146005.3;XM_017313775.1;XM_006513137.2;XM_017313778.1;XM_006513135.2;XM_006513130.2;XM_017313770.1;XM_006513134.2;XM_011243294.1;XM_017313780.1;XM_011243304.1;XM_006513126.2;XM_006513138.2;XM_006513136.2;XM_006513127.2;XM_006513129.2;XM_006513125.2;XM_017313779.1;XM_017313772.1;XM_011243300.1;XM_017313777.1;XM_006513133.2;XM_006513128.2;XM_006513124.2;XM_011243293.1;XM_011243305.1;XM_011243296.1;XM_017313771.1;XM_011243303.1;XM_011243301.1;XM_011243295.1;XM_011243297.1;XM_011243292.1;XM_017313776.1;XM_011243310.1;XM_011243309.1;XM_017313774.1;XM_011243308.1;XM_017313773.1;XM_011243307.1;XM_006513122.2;XM_011243290.1;XM_011243291.1","tss_body"
"9",0.271206495700561,0.34231524829824,0.239369325640069,0.369916315797205,0.247822921699418,0.360276588325558,0.231925362826659,0.348215437244361,0.0118754360380665,5.48694663124585e-07,-0.0917812096119094,-0.123418532287419,"cg28612886_89779288",6603,"cg","10",69910462,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28612886",4952,"Ank3;Gm33361","XM_017313769.1;XM_011243299.1;NM_170730.2;NM_170728.2;NM_170729.2;NM_170690.2;NM_170689.2;NM_170688.2;NM_146005.3;XM_017313775.1;XM_006513137.2;XM_017313778.1;XM_006513135.2;XM_006513130.2;XM_017313770.1;XM_006513134.2;XM_011243294.1;XM_017313780.1;XM_011243304.1;XM_006513126.2;XM_006513138.2;XM_006513136.2;XM_006513127.2;XM_006513129.2;XM_006513125.2;XM_017313779.1;XM_017313772.1;XM_011243300.1;XM_017313777.1;XM_006513133.2;XM_006513128.2;XM_006513124.2;XM_011243293.1;XM_011243305.1;XM_011243296.1;XM_017313771.1;XM_011243303.1;XM_011243301.1;XM_011243295.1;XM_011243297.1;XM_011243292.1;XM_017313776.1;XM_011243310.1;XM_011243309.1;XM_017313774.1;XM_011243308.1;XM_017313773.1;XM_011243307.1;XM_006513122.2;XM_011243290.1;XM_011243291.1;XR_380548.3","tss_body;tss_1500"
"10",0.323601438297595,0.390796361075463,0.339148415779898,0.4003832292974,0.316661953845342,0.391689581297466,0.330057535233299,0.373069122450456,0.0118754360380665,5.54551830868452e-07,-0.0711112751149961,-0.0521232003673295,"cg28619970_57642176",6702,"cg","10",70426570,"Mus musculus","mm10",NA,NA,NA,NA,NA,"cg28619970",NA,NA,NA,NA
